,text_entry,label,tokenized_text
0,according gran company plans move production russia although company growing,0,"[49, 4307, 3, 240, 551, 44, 85, 3332, 3, 653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,technopolis plans develop stages area less 100000 square meters order host companies working computer technologies telecommunications statement said,0,"[711, 240, 778, 1704, 125, 1088, 1912, 576, 1781, 71, 4271, 50, 668, 1225, 462, 630, 800, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,international electronic industry company elcoteq laid tens employees tallinn facility contrary earlier layoffs company contracted ranks office workers daily postimees reported,-1,"[204, 564, 83, 3, 244, 1191, 3592, 98, 1054, 193, 1, 90, 469, 3, 2566, 1, 177, 838, 781, 1, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability,1,"[18, 44, 54, 3, 73, 64, 182, 1402, 94, 64, 413, 73, 556, 145, 577, 427, 1506, 64, 44, 1070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,according company updated strategy years 20092012 basware targets longterm net sales growth range 20 40 operating profit margin 10 20 net sales,1,"[49, 3, 2239, 251, 176, 1, 209, 959, 429, 9, 7, 127, 273, 111, 249, 13, 10, 405, 93, 111, 9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit boards pcbs,1,"[774, 458, 127, 458, 1, 1, 127, 251, 2458, 1430, 3600, 1854, 1, 1385, 1112, 1885, 2904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,last quarter 2010 componenta net sales doubled eur131m eur76m period year earlier moved zero pretax profit pretax loss eur7m,1,"[88, 23, 24, 567, 9, 7, 2103, 1, 1, 20, 17, 90, 2394, 1, 228, 10, 228, 34, 3139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,third quarter 2010 net sales increased 52 eur 2055 mn operating profit 349 eur 235 mn,1,"[107, 23, 24, 9, 7, 57, 1480, 2, 1, 5, 13, 10, 4938, 2, 2195, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,operating profit rose eur 131 mn eur 87 mn corresponding period 2007 representing 77 net sales,1,"[13, 10, 65, 2, 2207, 5, 2, 1661, 5, 53, 20, 21, 718, 2186, 9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,operating profit totalled eur 211 mn eur 186 mn 2007 representing 97 net sales,1,"[13, 10, 172, 2, 3390, 5, 2, 2199, 5, 21, 718, 1658, 9, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom offering customers,1,"[375, 3570, 4, 266, 132, 251, 64, 979, 782, 19, 693, 73, 751, 1446, 1, 424, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value shares four largest nordic forestry groups,1,"[214, 243, 2934, 2786, 360, 598, 318, 3641, 30, 1, 1, 851, 655, 68, 29, 387, 170, 165, 1303, 1601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,purchase agreement 7200 tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight us dollars per month,1,"[354, 60, 1, 841, 4327, 389, 2069, 956, 11, 99, 425, 155, 22, 1237, 1, 497, 130, 1169, 1444, 69, 1622, 45, 858, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,finnish talentum reports operating profit increased eur 205 mn 2005 eur 93 mn 2004 net sales totaled eur 1033 mn eur 964 mn,1,"[6, 750, 382, 13, 10, 57, 2, 3392, 5, 63, 2, 3358, 5, 219, 9, 7, 187, 2, 1, 5, 2, 4854, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,clothing retail chain seppñlñ sales increased 8 eur 1552 mn operating profit rose eur 311 mn eur 171 mn 2004,1,"[739, 253, 332, 3744, 7, 57, 183, 2, 1, 5, 13, 10, 65, 2, 3379, 5, 2, 2668, 5, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,consolidated net sales increased 16 reach eur74 8 operating profit amounted eur0 9 compared loss eur0 7 prior year period,1,"[696, 9, 7, 57, 418, 904, 1, 183, 13, 10, 271, 141, 167, 37, 34, 141, 218, 1545, 17, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,foundries division reports sales increased 97 eur 631 mn eur 575 mn corresponding period 2006 sales machine shop division increased 164 eur 412 mn eur 354 mn corresponding period 2006,1,"[2488, 246, 382, 7, 57, 1658, 2, 1, 5, 2, 4889, 5, 53, 20, 31, 7, 729, 1955, 246, 57, 3403, 2, 1, 5, 2, 2653, 5, 53, 20, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,helsinki afx shares closed higher led nokia announced plans team sanyo manufacture 3g handsets nokian tyres fourthquarter earnings report beat analysts expectations dealers said,1,"[33, 439, 29, 568, 454, 1796, 39, 113, 240, 631, 1, 766, 1036, 1823, 983, 954, 3096, 181, 136, 1, 882, 2095, 1855, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,incap contract manufacturing services pvt ltd subsidiary incap corporation finland plans double revenues 20072008,1,"[470, 38, 147, 27, 1982, 131, 169, 470, 46, 11, 240, 1217, 716, 4989, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,board directors propose dividend eur0 12 per share 2010 eur0 08 per share paid 2009,1,"[75, 247, 1069, 344, 141, 168, 45, 25, 24, 141, 789, 45, 25, 608, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,lifetree founded 2000 revenues risen average 40 margins late 30s,1,"[4119, 1207, 1248, 716, 3800, 1237, 249, 1, 1287, 4950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today,1,"[1, 1, 60, 61, 58, 52, 644, 282, 309, 99, 1319, 1, 1451, 239, 1845, 1173, 33, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,megafon subscriber base increased 161 2009 505 million users december 31 market share number customers amounted 24 late 2009 23 late 2008 according teliasonera estimates,1,"[2410, 3646, 479, 57, 3405, 14, 1, 8, 627, 346, 372, 28, 25, 115, 66, 271, 744, 1287, 14, 305, 1287, 16, 49, 375, 589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
